fid,iid,rep,high_level_category,ela_distr.skewness,ela_distr.kurtosis,ela_distr.number_of_peaks,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.intercept,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.coef.max,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.adj_r2,ela_level.mmce_lda_50,ela_level.mmce_qda_50,ela_level.lda_qda_50,disp.ratio_mean_02,disp.ratio_mean_05,disp.ratio_mean_10,disp.ratio_mean_25,disp.ratio_median_02,disp.ratio_median_05,disp.ratio_median_10,disp.ratio_median_25,disp.diff_mean_02,disp.diff_mean_05,disp.diff_mean_10,disp.diff_mean_25,disp.diff_median_02,disp.diff_median_05,disp.diff_median_10,disp.diff_median_25,ic.h_max,ic.eps_s,ic.eps_max,ic.eps_ratio,ic.m0,nbc.nn_nb.sd_ratio,nbc.nn_nb.mean_ratio,nbc.nn_nb.cor,nbc.dist_ratio.coeff_var,nbc.nb_fitness.cor,ela_meta.quad_w_interact.adj_r2,ela_level.mmce_lda_10,ela_level.mmce_qda_10,ela_level.lda_qda_10,ela_level.mmce_lda_25,ela_level.mmce_qda_25,ela_level.lda_qda_25,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,optimal_budget
1,1,0,1,0.31482104701141705,0.006135062066412253,0.25,0.8208187997035514,1.5955512530217522e-07,4.54855162956186e-09,5.229229358253502e-09,0.0002624273617106379,0.0,1.0,0.3015873015873016,0.48979591836734687,0.277456647398844,0.2497699328233145,0.22420632931201911,0.22677712314017673,0.34908041714457294,0.2563059671839283,0.21036013713371737,0.26208092338154376,0.3801254883088201,0.2583340820116374,0.21332379099663656,0.2489549265406148,0.3752295696096797,0.268775930281415,0.20753911281907356,0.293160547506477,0.3960148467475043,0.7560084376559764,0.18672199170124476,1.5616794775164763e-07,0.23877068557919617,0.5454545454545456,0.7952133165397699,0.7901239403460423,0.8413714731785513,0.37054833611233706,0.5452978907718833,0.0,0.39999999999999997,0.0,0.39999999999999997,0.3278688524590164,0.0,0.3278688524590164,0.3155738902334551,0.4118714602729202,0.4768627980503247,0.4462734114628021,0.439720106920282,0.5148300666199299,0.5598626581168353,0.5665334793827101,0.6230956596463566,0.5773877099889566,0.6320561073001516,0.6529873786167287,0.645174438504292,0.6517197844903008,0.647020531688845,0.6425946949497162,0.6481110614987416,0.6404048258704939,0.661552199115263,True
1,1,1,1,0.3403091182478225,0.011777148065904124,0.0,0.7321334320292903,1.5912421316108179e-07,2.8762144471226685e-09,7.375593189599956e-09,0.0006254201235677567,0.0,1.0,0.5873015873015873,0.4693877551020407,0.5707035105033135,0.22077578832713451,0.24406592635390068,0.23948871616022083,0.19923389047012385,0.2248474746443584,0.26989377560493377,0.27537547027150344,0.21035397057844607,0.22460204241260184,0.22527504996875858,0.2522714146090327,0.22107463588422605,0.23186958087919973,0.2576556437868026,0.29586364536810383,0.2177057212028075,0.8224798125440742,0.17427385892116182,1.0654731410992131e-07,0.24349881796690306,0.6666666666666667,0.8345715103233258,0.8442283904473236,0.9426615680587795,0.16581267017248014,0.4394177955799804,0.0,0.657142857142857,0.0,0.6571428571428573,0.4262295081967214,0.0,0.42622950819672134,0.4028217998294999,0.40342714872575036,0.45346077595521395,0.4455633026328502,0.4497710108251102,0.4707302205623573,0.49485598768880884,0.5311962885150031,0.5383584422352587,0.589104429136234,0.5966732336015177,0.5891315623721698,0.598860298857143,0.614492151374544,0.6252543871081198,0.6323998619673104,0.6396805831091839,0.6346653612014501,0.6381881459728708,True
1,1,2,1,0.3337236019325671,0.011854330801875826,0.0,0.8098843749026687,1.633777861013177e-07,3.577808282475687e-09,8.967881030848056e-09,0.0006098530082749741,0.0,1.0,0.507936507936508,0.4081632653061224,0.5378764831153029,0.2752268908863781,0.22442820791602358,0.22320773463106014,0.31666093637518156,0.28074143013008956,0.19909225476888892,0.2455341785735059,0.33914403644368774,0.277818633574333,0.20277592613588402,0.23375445272726092,0.3328018848799513,0.2867857074069082,0.18437702996744454,0.26551189697394695,0.3444934337985165,0.7787815075774498,0.17634854771784225,9.143015311171907e-08,0.2364066193853428,0.4545454545454546,0.8514042877335317,0.7620040018739793,0.8178029062971615,0.40252184980120254,0.4994136562499538,0.0,0.22857142857142854,0.0,0.22857142857142854,0.4754098360655737,0.0,0.47540983606557385,0.3933609648818247,0.44595493975245815,0.4724382582616574,0.453814132258604,0.45492086760391565,0.4781620794263658,0.5416987284392628,0.5624687905569247,0.5760588715577056,0.6291100460804091,0.654037945506277,0.6229936203610024,0.6373681612100055,0.6406461691157633,0.6464752845490414,0.6541322439011771,0.6596793754270642,0.6371463928884615,0.6473188328278695,True
1,1,3,1,0.3699808331777326,0.02468395233317241,0.25,0.8593615237687446,1.5643765393473704e-07,8.73669649138879e-09,5.759229340829434e-09,0.00013581174959870267,0.0,1.0,0.31746031746031755,0.5510204081632653,0.26718047527296085,0.2173369369444652,0.06796587555209577,0.12182106525468162,0.20824440563417168,0.2215544753048725,0.04850324666027617,0.13117533201519693,0.2294813170567065,0.2377770379391157,0.0780033682834016,0.17009088945337758,0.26312886979610983,0.24501124452178996,0.0672730524402152,0.18780167098514466,0.26871967072004976,0.5965880869990605,0.18464730290456433,1.4105106835227644e-07,0.2458628841607565,0.24242424242424265,0.8762329073762083,0.7752671096011596,0.8886889561277311,0.4315826510078026,0.4402328938036473,0.0,0.45714285714285713,0.0,0.45714285714285713,0.45901639344262285,0.0,0.4590163934426229,0.29707257219409017,0.35631224872040185,0.45186155659099925,0.4277062784903222,0.44286569187619074,0.4157920534143005,0.4401311870466217,0.46092850597208795,0.4976927381506113,0.5065725524096393,0.5243744884982526,0.550663457128671,0.5276935784646803,0.5448739005051144,0.5551908665128698,0.5277287400878611,0.5127282101581365,0.5366465182032519,0.5277880927558732,True
1,1,4,1,0.32127416831387534,0.005051899932767981,0.0,0.8568422359287127,1.580804530611443e-07,4.065675287430208e-09,6.756739083539098e-09,0.00039363634954155016,0.0,1.0,0.2857142857142856,0.42857142857142855,0.28931376908255524,0.2637050229647764,0.32918005851667376,0.23117624216311383,0.2885151387828908,0.26962928224207805,0.38299812110565346,0.21183162224815755,0.3156615017617721,0.27723855287831417,0.32794780739219775,0.2636192047955529,0.3278490852486142,0.2865902952657888,0.38679239814561467,0.254786951830161,0.3425593527206465,0.4619337843479272,0.1701244813278008,1.446411224592722e-07,0.2364066193853428,0.33333333333333326,0.9386129905340357,0.7147454884687967,0.7794579722199646,0.5108833551757787,0.5923623410886867,0.0,0.45714285714285713,0.0,0.45714285714285713,0.11475409836065574,0.0,0.11475409836065578,0.2525856332547769,0.36693876975360346,0.4113670946333528,0.3849662583252689,0.39873576687130524,0.4907319270873063,0.505920195280949,0.5251836854146705,0.5728368782880802,0.5784023141746628,0.581850309506151,0.6078257419129808,0.6267543179098326,0.6142252837206135,0.6451676700865318,0.6894277629835577,0.6621608501363441,0.6701620001307512,0.6678214319477717,True
1,1,5,1,0.35284486264840587,0.01295496096846345,0.0,0.8476125919776187,1.584539884249494e-07,1.5119426439417959e-09,5.6679758258438855e-09,0.0009315922642433799,0.0,1.0,0.3015873015873015,0.3673469387755101,0.33911368015414256,0.17259445667220796,0.22318461866240336,0.19787211359005963,0.29461508803228975,0.1743186816950002,0.3452022585429011,0.22680057292478617,0.29267418229647246,0.17518144888383097,0.20184994164009462,0.20906352365457637,0.3116932935978778,0.17904365411833884,0.33127180513463267,0.2443676642963143,0.29535132935005914,0.758187577318755,0.17427385892116182,1.1798140017210142e-07,0.24349881796690306,0.4848484848484851,0.7146812963152791,0.7701821563877651,0.7629069738006982,0.3971578166929458,0.5522572661137839,0.0,0.5142857142857142,0.0,0.5142857142857143,0.45901639344262307,0.0,0.459016393442623,0.3024881233123139,0.3858658462388748,0.45930831642749276,0.44555452909021076,0.4193308361030379,0.4674684944831946,0.5149955581332821,0.5349173353979997,0.5608362598337228,0.5616265840351997,0.5870051080045795,0.5956612494752206,0.5816980198867018,0.612799628747823,0.6222729693761421,0.6158300637632801,0.6214046452472686,0.6317031145219514,0.6230776488883615,True
1,1,6,1,0.32332211188449683,0.010980159576762854,0.0,0.865054274533249,1.5692549102401253e-07,2.5511852418833873e-09,8.208585131417264e-09,0.0007928219624098908,0.0,1.0,0.4444444444444443,0.510204081632653,0.40435542411614467,0.23669146619471937,0.15149740396770417,0.21488704060959551,0.24980614616943386,0.24004869501825388,0.15397187632817877,0.2522363132605867,0.26312972824434855,0.2585165952278914,0.1646662379761441,0.2621209716860009,0.30625593344193114,0.2644413421313308,0.1734035521312347,0.3040009225839547,0.3043438108207003,0.6257203210583939,0.17427385892116182,1.772956729012547e-07,0.2458628841607565,0.36363636363636354,0.8140924065664517,0.6972754654656512,0.8348219932619332,0.41303644757516045,0.5167910434471131,0.0,0.2857142857142854,0.0,0.28571428571428564,0.34426229508196726,0.0,0.34426229508196726,0.28508684458290096,0.3897954225074545,0.46330392091841976,0.4837219521032191,0.5071087069806692,0.5071025049805907,0.5487310950353609,0.5679743543262065,0.590874316909586,0.5997103520772926,0.6493483431587914,0.6166497787283322,0.6458725680994465,0.644183100776123,0.6490247946092705,0.6623364146849869,0.6547589065355139,0.6551275434060062,0.6758772871313689,True
1,1,7,1,0.32747738239773855,0.00932945392083816,0.0,0.7815219459674638,1.5973771040159122e-07,9.202839589657016e-10,7.091766523773992e-09,0.0019465846449612132,0.0,1.0,0.4126984126984128,0.5714285714285714,0.34380497612465444,0.2787940652840102,0.14736006563706683,0.1887165629015335,0.22682058892323687,0.28525012207123923,0.16626955370413765,0.14559148943174272,0.24978685843755422,0.2905121859617056,0.14317992744391772,0.21998715936889757,0.2665746080965502,0.3004740509135364,0.17094367033193558,0.1895320642369912,0.27664570916049025,0.8567552978893,0.1701244813278008,2.1729307621558394e-07,0.25295508274231676,0.606060606060606,0.8708135983229379,0.8157190877857303,0.8835103871754806,0.33284790300783196,0.5171692994376075,0.0,0.14285714285714285,0.0,0.14285714285714285,0.5081967213114755,0.0,0.5081967213114755,0.3622002590482669,0.44436334921594856,0.501860761705897,0.47710412104365807,0.4619649416434038,0.5016325179543627,0.5717270775006386,0.5861329335661385,0.5736059777481723,0.6067524666301063,0.6401261864024725,0.6102302410257322,0.58932160604327,0.6300470380122325,0.6485603448365977,0.6412454381865872,0.6375765519266395,0.6387475677881866,0.6421417769380237,True
1,1,8,1,0.349162446045859,0.021423172720333002,0.25,0.7674700178578671,1.6193273978414965e-07,7.783306399765245e-09,5.025144033677534e-09,0.0001325157120549701,0.0,1.0,0.634920634920635,0.48979591836734687,0.601156069364162,0.33493235410491173,0.21769274571650854,0.13493082726447647,0.23780292227947353,0.34237663086476466,0.21757186269822992,0.1753960091658291,0.2328513797654428,0.33573981702285083,0.19113512038361646,0.14060933091142758,0.2504266962757562,0.3467707832180814,0.19987091660443979,0.19308129838823862,0.23473602721500075,0.6023695491173795,0.17219917012448138,6.729465899880066e-08,0.23404255319148937,0.696969696969697,0.8238702234762414,0.736588615792737,0.770378797769981,0.5067005377533871,0.49324397480462223,0.0,0.4857142857142856,0.0,0.4857142857142857,0.442622950819672,0.0,0.44262295081967207,0.4088784537145462,0.43818663655559803,0.41378112158050906,0.4109022345826188,0.41764137726144995,0.4639667637490475,0.4674960533017035,0.49854024272320274,0.5167851649024909,0.5288248423922167,0.5546366035183535,0.5651728194209653,0.5696346022205734,0.5743348567649935,0.5724637308736417,0.5626669239400498,0.5519355926556176,0.5436699169176442,0.5603814841149377,True
1,1,9,1,0.31188738886463796,0.0050289193219088,0.0,0.7770588777944215,1.5992731924804216e-07,4.702018394689253e-09,8.21103064161462e-09,0.0004148008945169756,0.0,1.0,0.4285714285714286,0.3673469387755101,0.4829800899165063,0.3817616302971959,0.3998478885203576,0.34962340043129525,0.26270038774055715,0.38274127027739213,0.415415354307461,0.35911509870177305,0.25316104998508715,0.39066462087569337,0.39674950067575465,0.37463102050516905,0.3004812205626033,0.39328909301084414,0.4147839597437015,0.3889984897814794,0.2757366611836045,0.7547033753190107,0.18049792531120332,9.143015311171907e-08,0.25295508274231676,0.5151515151515154,0.8475849385135525,0.7605317703489227,0.8741907409215608,0.3381133858011559,0.3918775040618333,0.0,0.3428571428571428,0.0,0.34285714285714286,0.26229508196721313,0.0,0.2622950819672132,0.4011077131116105,0.43625491935341204,0.4791390718903563,0.5068642999374703,0.5197778321128934,0.5787198554780886,0.5778684473009215,0.602785589078972,0.652475020316696,0.6540646745994468,0.6750035776286935,0.6852196240804971,0.6932355530627552,0.697977411211077,0.7182708155919078,0.7271060900774877,0.7327700084859841,0.7111247180636046,0.7057967730364161,True
