fid,iid,rep,optimal_budget
1,1,0,50
1,1,1,100
1,1,2,100
1,1,3,100
1,1,4,100
1,1,5,50
1,1,6,150
1,1,7,50
1,1,8,50
1,1,9,50
1,1,10,50
1,1,11,50
1,1,12,50
1,1,13,50
1,1,14,50
1,1,15,50
1,1,16,50
1,1,17,50
1,1,18,50
1,1,19,50
1,2,0,50
1,2,1,50
1,2,2,100
1,2,3,50
1,2,4,100
1,2,5,50
1,2,6,50
1,2,7,100
1,2,8,100
1,2,9,100
1,2,10,50
1,2,11,150
1,2,12,50
1,2,13,50
1,2,14,50
1,2,15,50
1,2,16,50
1,2,17,50
1,2,18,50
1,2,19,100
1,3,0,50
1,3,1,50
1,3,2,50
1,3,3,50
1,3,4,50
1,3,5,100
1,3,6,50
1,3,7,100
1,3,8,50
1,3,9,100
1,3,10,50
1,3,11,50
1,3,12,50
1,3,13,50
1,3,14,50
1,3,15,50
1,3,16,50
1,3,17,50
1,3,18,50
1,3,19,50
1,4,0,50
1,4,1,50
1,4,2,100
1,4,3,50
1,4,4,50
1,4,5,50
1,4,6,150
1,4,7,100
1,4,8,50
1,4,9,50
1,4,10,50
1,4,11,50
1,4,12,50
1,4,13,50
1,4,14,50
1,4,15,50
1,4,16,50
1,4,17,100
1,4,18,50
1,4,19,100
1,5,0,50
1,5,1,50
1,5,2,50
1,5,3,50
1,5,4,50
1,5,5,50
1,5,6,50
1,5,7,100
1,5,8,50
1,5,9,50
1,5,10,50
1,5,11,50
1,5,12,50
1,5,13,50
1,5,14,50
1,5,15,100
1,5,16,50
1,5,17,50
1,5,18,50
1,5,19,50
2,1,0,100
2,1,1,100
2,1,2,100
2,1,3,50
2,1,4,100
2,1,5,50
2,1,6,100
2,1,7,100
2,1,8,100
2,1,9,100
2,1,10,50
2,1,11,50
2,1,12,50
2,1,13,50
2,1,14,100
2,1,15,50
2,1,16,100
2,1,17,150
2,1,18,200
2,1,19,50
2,2,0,50
2,2,1,50
2,2,2,150
2,2,3,100
2,2,4,50
2,2,5,150
2,2,6,50
2,2,7,100
2,2,8,200
2,2,9,100
2,2,10,100
2,2,11,200
2,2,12,50
2,2,13,150
2,2,14,100
2,2,15,50
2,2,16,50
2,2,17,200
2,2,18,150
2,2,19,200
2,3,0,50
2,3,1,100
2,3,2,200
2,3,3,300
2,3,4,100
2,3,5,150
2,3,6,150
2,3,7,150
2,3,8,200
2,3,9,100
2,3,10,50
2,3,11,50
2,3,12,200
2,3,13,50
2,3,14,50
2,3,15,50
2,3,16,150
2,3,17,200
2,3,18,100
2,3,19,150
2,4,0,250
2,4,1,150
2,4,2,50
2,4,3,250
2,4,4,100
2,4,5,100
2,4,6,100
2,4,7,200
2,4,8,100
2,4,9,100
2,4,10,50
2,4,11,150
2,4,12,150
2,4,13,50
2,4,14,100
2,4,15,50
2,4,16,150
2,4,17,50
2,4,18,200
2,4,19,50
2,5,0,50
2,5,1,50
2,5,2,150
2,5,3,200
