fid,iid,rep,high_level_category,ela_distr.skewness,ela_distr.kurtosis,ela_distr.number_of_peaks,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.intercept,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.coef.max,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.adj_r2,ela_meta.quad_simple.cond,ela_level.mmce_lda_50,ela_level.mmce_qda_50,ela_level.lda_qda_50,disp.ratio_mean_02,disp.ratio_mean_05,disp.ratio_mean_10,disp.ratio_mean_25,disp.ratio_median_02,disp.ratio_median_05,disp.ratio_median_10,disp.ratio_median_25,disp.diff_mean_02,disp.diff_mean_05,disp.diff_mean_10,disp.diff_mean_25,disp.diff_median_02,disp.diff_median_05,disp.diff_median_10,disp.diff_median_25,ic.h_max,ic.eps_s,ic.eps_max,ic.eps_ratio,ic.m0,nbc.nn_nb.sd_ratio,nbc.nn_nb.mean_ratio,nbc.nn_nb.cor,nbc.dist_ratio.coeff_var,nbc.nb_fitness.cor,ela_meta.quad_w_interact.adj_r2,ela_level.mmce_lda_10,ela_level.mmce_qda_10,ela_level.lda_qda_10,ela_level.mmce_lda_25,ela_level.mmce_qda_25,ela_level.lda_qda_25,t_0,t_1,t_10,t_11,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,optimal_budget
1,1,0,1,0.2220657448220191,0.0648605798713829,0.625,0.6846323763349202,0.0137306465024947,6.008687822611729e-09,8.056100818891376e-09,0.0001408261813267,0.8655282366718533,1.0,1.4399560103323106e-20,0.5328467153284673,0.0465116279069766,0.4141514960834942,0.000996383390626,0.0015092396083353,0.0020634900504144,0.0040625181166716,0.0012844123589482,0.0036339940217098,0.0068687639702429,0.0141243522653367,0.5437779959559108,0.607880705895998,0.6167620949197682,0.6350852871530748,0.5883975302208434,0.7283979478878526,0.7444064160349584,0.8172270987394004,0.4302249281300141,0.0365168539325842,5.136379759236196e-08,0.113095238095238,0.592760180995475,0.6842206311688632,0.9248152969779238,0.9753135364383964,0.0195354244815149,0.7976089945141599,1.0,0.1818181818181818,0.1596009975062345,0.0520756931201408,0.6187500000000002,0.1353383458646616,0.1671351786320021,0.005595985935306619,0.005018851750139126,0.03423830932357609,0.031484407020174236,0.0024517052528387527,0.010161100700779106,0.002678943087346888,0.0030330537595122382,0.026770046088248758,0.023636734982676842,0.034632102108998294,0.03402024431737607,False
1,1,1,1,0.2020637880473663,0.0491491425501592,0.5,0.7944275521913999,0.0137306467887126,3.863344101433367e-10,6.369118742401421e-09,0.0021376466411474,0.864234492086456,1.0,2.0328790734103208e-20,0.4927007299270073,0.0503875968992248,0.3621664822328784,0.0009985905591088,0.0015800476951439,0.0022309549830057,0.0056116384339801,0.0009312665524834,0.0028574930852146,0.0057001393580186,0.01386056852331,0.5709386933310456,0.6384499560541856,0.648976189695677,0.6743788061458532,0.5816955508386737,0.720066652977722,0.7357150674026814,0.8070740662378011,0.3498384659515554,0.0308988764044943,8.529010715647415e-08,0.0803571428571428,0.5520361990950226,0.6973603401769783,0.9349162866528928,0.9732207854704134,0.0251476492751601,0.8235559374109793,1.0,0.1696969696969699,0.1097256857855361,0.0741895261845386,0.58125,0.1090225563909775,0.1909103922861802,0.0012699992540769018,0.007941360056639124,0.05946846837204896,0.045817122757740976,0.00713245222803955,0.0034766080406232153,0.0013849576220046653,0.004052841293392474,0.028163142762969676,0.029353652953341795,0.05775500396077361,0.037455731826160125,False
1,1,2,1,0.2049885919907767,0.0548527465343669,0.375,0.6445641905868312,0.013730641530176,1.5175328452577678e-08,6.865504576885825e-09,2.294371577653348e-05,0.8248410538724105,1.0,1.0164395367051604e-20,0.4087591240875913,0.0232558139534883,0.5053821132758793,0.0019606707733453,0.0032538153932876,0.0044351348889594,0.0103357633466232,0.0009438154330951,0.0028752363854206,0.005678193457547,0.0126300432259521,0.5084914129180473,0.5684071150656989,0.5753899195945776,0.5864955226312933,0.486305415033084,0.6014496525218515,0.6119757372324248,0.6608406562392096,0.3326178562233122,0.0252808988764044,1.734695980830164e-07,0.1726190476190476,0.570135746606335,0.7291800463687037,0.9437541463431458,0.9814759807549728,0.0135158178842004,0.782984339900572,1.0,0.1696969696969699,0.1072319201995012,0.0759802621106807,0.6000000000000002,0.0375939849624059,0.4250272694546921,0.004213427225229241,0.002075826011882907,0.05912751656475376,0.034877363640475105,0.0014165056951860754,0.0060956219840709695,0.0032766453680079604,0.004952378510358237,0.024657933081413067,0.023952992837483696,0.062400859164403674,0.059666484086642095,False
1,1,3,1,0.2110858375120935,0.0556438695041462,0.375,0.3628274020891049,0.0137306401650602,1.2128868318052558e-08,6.0465836515607185e-09,2.92104717488855e-05,0.7430617998985929,1.0,1.2705494208814504e-20,0.4452554744525547,0.0193798449612402,0.6034673552194761,0.0010930435451389,0.0019030215338678,0.0029836249962797,0.0068244227434414,0.000889275838929,0.0030129608622548,0.0067415355946288,0.0155983903089178,0.5804984246782817,0.6492534675132592,0.6604518622292234,0.6883208981428788,0.5765420855546568,0.7136966248883176,0.7291571369041997,0.7994023784027883,0.4107482839834313,0.0280898876404494,8.529010715647415e-08,0.1071428571428571,0.5610859728506785,0.7294808415525704,0.94887187273161,0.9761168754636148,0.0222948431874994,0.7761113707427308,1.0,0.2303030303030304,0.1271820448877806,0.0798004987531172,0.6625000000000001,0.1390977443609022,0.1730798994407332,0.015371843743343066,0.00950496886013956,0.08455450269393779,0.07021096984835204,0.012843974908938701,0.015379009315613498,0.011636827827204752,0.013251948210078269,0.058637631200700854,0.08583003597601033,0.08595353259572278,0.09057481030242989,False
1,1,4,1,0.2762755947988431,0.1057813004930751,0.5,0.414129350001555,0.0137306437657975,9.152032081477923e-10,5.9395422159810966e-09,0.0008253150479413,0.7126644651024721,1.0,5.9292306307801016e-21,0.5656934306569346,0.0891472868217054,0.2606181166675449,0.0011627954504568,0.0016347961180421,0.0022092856159191,0.0052079035723695,0.0008207025937397,0.0022799979827621,0.0043457186674218,0.0108217154549228,0.5597278712398417,0.6258048628510612,0.635640865103521,0.6581821368350563,0.5614484882113603,0.6948278963837443,0.7093230142312805,0.7757489731873329,0.4667696190897445,0.0112359550561797,5.544133383177373e-08,0.1220238095238094,0.6108597285067874,0.7421353519801757,0.9454125683671756,0.98454243694283,0.0362675097427973,0.7799348969623519,1.0,0.1696969696969699,0.1122194513715711,0.072471881520688,0.6187500000000002,0.1052631578947368,0.2073252657249344,0.015501978985608057,0.015115255377090525,0.1205155050239432,0.107620769135995,0.017312477031156383,0.006808159681729297,0.010560899178724008,0.006032258511908911,0.09242299287393552,0.059678061955779606,0.0971907695480076,0.1259249832979944,False
1,1,5,1,0.3081231174672518,0.1171463832470304,0.75,0.7005273739143668,0.0137306474738293,3.823850070277409e-09,7.451650153375987e-09,0.0002217615447923,0.8987640993481428,1.0,5.082197683525802e-21,0.4233576642335767,0.0387596899224805,0.379072912824296,0.0004075093900631,0.0006861390183309,0.0010233948755213,0.0032061473186995,0.0002774517127219,0.0009915963051665,0.0021229696853695,0.0062456707541494,0.5982953968057854,0.6691736746262352,0.6812650428345968,0.7130699401635081,0.5794519406514378,0.7172199696929258,0.732664502394742,0.8031066915409847,0.3304637284447089,0.0168539325842695,2.0614880198645483e-08,0.0922619047619047,0.597285067873303,0.7185855053971957,0.95543246031683,0.990790139230241,0.0281351354511751,0.8239848264460956,1.0,0.1696969696969699,0.0922693266832918,0.0885590900796788,0.5687500000000003,0.0563909774436089,0.3122524188184705,0.0123019948081469,0.005376577020848539,0.04134826629000615,0.07916021174508443,0.007685410503401643,0.010885452959949308,0.004571731744840545,0.006554453068506359,0.024808673520682376,0.01824503522442385,0.07424195397362297,0.07077901584926508,False
1,1,6,1,0.2219981061481155,0.0603042859635674,0.625,0.6272907849956472,0.0137306460787565,1.6737747213922722e-09,7.931088627650985e-09,0.0005912465876048,0.7563118370806517,1.0,1.2705494208814504e-20,0.4890510948905111,0.011627906976744,0.8270933234968647,0.0011949554402766,0.0017915133572517,0.0027303835200027,0.0069451520575514,0.000824315058067,0.0026403219160844,0.0055523991736877,0.0148706821042273,0.5769370659083914,0.6451935667776267,0.6561454979043515,0.6832368669477902,0.5707899806582628,0.706510050175174,0.7215950015921071,0.7905676030388572,0.2998573458745486,0.0252808988764044,7.32533164411401e-08,0.101190476190476,0.4977375565610858,0.735954358609477,0.9455222033423052,0.9750164737145994,0.0215633298322032,0.7666782628605611,1.0,0.1757575757575759,0.1097256857855361,0.0760598503740648,0.61875,0.0902255639097743,0.2351990358055165,0.00738791150130708,0.010474339663828894,0.053883750387047936,0.06243183201782707,0.018756608858149487,0.00778819655960255,0.008993513100786372,0.013786081223220743,0.023729908575207778,0.025995060313202527,0.06239294559469721,0.03330903029374952,False
1,1,7,1,0.1702238562763557,0.0314528119851356,0.25,0.4360754721234735,0.0137306421995365,5.87322754832618e-10,6.0771198539084124e-09,0.0013339346501459,0.690039080328812,1.0,2.0328790734103208e-20,0.5401459854014599,0.0271317829457363,0.6003934587483093,0.0018654746102238,0.0028876654189894,0.0036577194513943,0.0066494835435608,0.0015543879353379,0.0046091964821078,0.0085403164676166,0.0155266542969491,0.5894616412268272,0.6593551259445314,0.671003311245628,0.7008125347266845,0.5826616600076807,0.7213157731691205,0.7370405944420589,0.8084805808181317,0.4066973580212651,0.0280898876404494,9.684944517497372e-08,0.125,0.5520361990950226,0.757365546499859,0.9635364811351532,0.992999125369366,0.0282384336473608,0.7717830944788806,1.0,0.1878787878787879,0.14214463840399,0.0606680021258329,0.6312500000000002,0.1127819548872181,0.1990260172287504,0.028057614353070085,0.01625138223239482,0.13337561545511664,0.16002863234728684,0.022630282462601056,0.016812660872422388,0.017465268654986734,0.018868943190233804,0.09762720594024296,0.09662886358897746,0.11700932384207684,0.1414153183695304,False
1,1,8,1,0.2763111594456729,0.1015883025540721,0.5,0.671556242148236,0.0137306365408974,3.0481312189009507e-09,9.005462143720405e-09,0.0003544648414317,0.8527631454267279,1.0,1.0164395367051604e-20,0.5109489051094893,0.0658914728682169,0.3041816169813219,0.0015604431441719,0.0025280146066824,0.0039132293901352,0.0099999870149138,0.0011344227729432,0.0035539629442114,0.0078903044027308,0.019871001453346,0.5711822178682079,0.6388005699992213,0.6495233558641473,0.6757454779507048,0.5669389267920936,0.7017597346142077,0.7167626122242783,0.7851774144944175,0.4372002079098203,0.0308988764044943,1.2796334898092846e-07,0.1428571428571428,0.6063348416289591,0.7503995470632223,0.954664250611649,0.9812763995850348,0.0214624114154732,0.7898421144641635,1.0,0.1696969696969699,0.0947630922693267,0.0862130388314926,0.5875000000000002,0.0714285714285714,0.2700855487401293,0.011466310905508599,0.0027436258770665634,0.09366537098091146,0.07959607581888734,0.00490747771876303,0.013761332809325334,0.012530035918378287,0.004257123103865058,0.014011364089194208,0.014906660185715069,0.06239572701763459,0.06632240899846224,False
1,1,9,1,0.2937135314134516,0.1027041072863658,0.625,0.7281709738516075,0.0137306464949357,1.4536270390328955e-08,8.553176753394256e-09,4.083762632580324e-05,0.8887087444449256,1.0,1.5246593050577406e-20,0.3905109489051096,0.0852713178294573,0.1888328756643031,0.0014728427205084,0.0023237915556986,0.0031523159506667,0.0069151088211762,0.0010747890705628,0.0035384346470716,0.0067276421407293,0.0148782576591041,0.5934198336301242,0.6637801395741892,0.6756796870250221,0.706656348474415,0.5787764354900047,0.7164893537243199,0.731985194982731,0.8026598069264035,0.3221123056974795,0.0028089887640448,5.136379759236196e-08,0.1160714285714284,0.6153846153846152,0.7007752131284732,0.944043751150548,0.9862324635830876,0.0313297787088875,0.8164210082092261,1.0,0.1696969696969699,0.1097256857855361,0.0741895261845386,0.59375,0.0676691729323308,0.2837362536235218,0.00766079383089253,0.008972086680407778,0.06083566709735778,0.08183998217808255,0.007477125004472398,0.007447179493382195,0.00264245090925165,0.007206122502311711,0.024563338761726315,0.025711991121045566,0.06914890050970618,0.0731384656200804,False
