fid,iid,rep,high_level_category,ela_distr.skewness,ela_distr.kurtosis,ela_distr.number_of_peaks,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.intercept,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.coef.max,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.adj_r2,ela_meta.quad_simple.cond,ela_level.mmce_lda_50,ela_level.mmce_qda_50,ela_level.lda_qda_50,disp.ratio_mean_02,disp.ratio_mean_05,disp.ratio_mean_10,disp.ratio_mean_25,disp.ratio_median_02,disp.ratio_median_05,disp.ratio_median_10,disp.ratio_median_25,disp.diff_mean_02,disp.diff_mean_05,disp.diff_mean_10,disp.diff_mean_25,disp.diff_median_02,disp.diff_median_05,disp.diff_median_10,disp.diff_median_25,ic.h_max,ic.eps_s,ic.eps_max,ic.eps_ratio,ic.m0,nbc.nn_nb.sd_ratio,nbc.nn_nb.mean_ratio,nbc.nn_nb.cor,nbc.dist_ratio.coeff_var,nbc.nb_fitness.cor,ela_meta.quad_w_interact.adj_r2,ela_level.mmce_lda_10,ela_level.mmce_qda_10,ela_level.lda_qda_10,ela_level.mmce_lda_25,ela_level.mmce_qda_25,ela_level.lda_qda_25,t_0,t_1,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,optimal_budget
1,1,0,1,0.4313948628145748,0.1006488393769399,0.6666666666666667,0.4874903889101838,0.0968100345847082,7.4216093608421125e-09,6.110959934111197e-09,2.155104245019302e-05,0.7970164032887288,1.0,1.2197274440461925e-19,0.2432432432432432,0.4117647058823528,0.0531400966183574,0.0,0.2544372152142061,0.3111643253577818,0.2496413915274731,0.0,0.2408767130541788,0.3347978479945018,0.2932735001298824,0.4076728220553531,0.2834054369396981,0.3631801631635672,0.2917788864334608,0.4342950499585962,0.2502678059935624,0.3910969905571605,0.376936749948721,0.7162938462135855,0.0579345088161208,1.7104070525632288e-07,0.0991501416430594,0.5600000000000002,0.928806813364159,0.7334356844962029,0.9129392906377464,0.343097064878578,0.5237254417564672,,,,,,,,0.005297456509133992,0.024618474632709095,0.018477762532062347,0.019213066428404396,0.016082050342046187,0.026991896515545635,0.06386670960368367,0.07378231076985141,0.08800652209269429,0.08839098039930042,0.09621099491455049,0.08874339135150298,0.012294618346945653,0.0304351908180042,0.026352604823957446,0.025554256737403677,0.012845234254577323,0.029744514928872267,0.01712204502829319,0.01428818027102855,False
1,1,1,1,0.3920225763514223,0.0493986065510203,0.0,0.6679993321313861,0.096810030798916,4.129087508234686e-09,6.409874696402286e-09,4.4195964010755255e-05,0.8633349374987819,1.0,7.453889935837843e-20,0.3783783783783783,0.2941176470588235,0.1238471673254282,0.0,0.3269551820786396,0.3520249559885262,0.2783881218051995,0.0,0.2215127058741007,0.2994332033230069,0.3329261435016074,0.8356442631801326,0.4357661983896274,0.4923043534962198,0.454399849891188,0.8262151167646541,0.2988143732747039,0.4605910452524351,0.5257911056077262,0.8311866538069232,0.0377833753148614,1.0035999976336653e-07,0.0849858356940509,0.6,0.8058796963245122,0.7177099402972527,0.9077710456612512,0.4290558793181617,0.4522676059359544,,,,,,,,0.027140088424403384,0.04077408618366767,0.02623323314258694,0.01989490321444941,0.02979726977792587,0.02201618821219168,0.07581151176517768,0.06880903559422452,0.07519244129206945,0.08163328722908715,0.09673619561184141,0.09422558455004491,0.03831528976492395,0.022216342255437452,0.01488588552784768,0.040436261559249856,0.04203629721909005,0.04170729281569084,0.03150550476821451,0.04356240841204496,False
1,1,2,1,0.425187935648067,0.06930210277433,0.3333333333333333,0.571276590845349,0.096810029425433,3.223239543147973e-08,4.710132256003717e-09,4.572958405275118e-07,0.8761611540263352,1.0,1.2197274440461925e-19,0.4324324324324324,0.2647058823529412,0.1579710144927536,0.0,0.2869220598734746,0.244733157601048,0.2374738345082416,0.0,0.2180285504019468,0.2331183473219676,0.2338682279188054,0.5565515446538938,0.346753922428145,0.3441643616001391,0.3309615598286629,0.5492600873507969,0.24926043389298,0.3351511849556369,0.3647259394692417,0.6438293262388635,0.0327455919395465,9.070455647464192e-08,0.0963172804532578,0.44,0.905969718970282,0.7730630860799761,0.8416079894329007,0.3394719870127458,0.5044571016063814,,,,,,,,0.012230471449472948,0.007565051940756214,0.009072161267155722,0.00505142186399878,0.01714813959352663,0.008503967335137657,0.05450754360922332,0.041807749484743854,0.06880410098859326,0.08388909628657806,0.06990941436002564,0.08628263539471423,0.015610935089745098,0.012825009358674956,0.008507178831311607,0.00971050205532203,0.008522944025936188,0.00971607610791457,0.01373454788058812,0.006191028558177305,False
1,1,3,1,0.3966732701230911,0.0621589355341486,0.0,0.3361295907863215,0.0968100291592731,1.2555564784159634e-08,3.792883184728007e-09,5.570120662999368e-06,0.7928848930656751,1.0,1.1519648082658485e-19,0.4324324324324324,0.2352941176470587,0.1771336553945249,0.0,0.1645215488993467,0.2215580007612798,0.2103489536521134,0.0,0.1275380362058134,0.2230960923833939,0.2403272375751048,0.6155900990075576,0.2631228377952973,0.3424689788941482,0.3286935950655542,0.5918485433828209,0.1843748228403896,0.3401279408005401,0.384961249839969,0.6619722237074235,0.0176322418136019,1.2193265220795852e-07,0.1019830028328611,0.4,0.9545351142926098,0.7868468896365273,0.9096287318591898,0.4069121897001049,0.4381155340877729,,,,,,,,0.022774516435689274,0.026685763851768365,0.036545372423522425,0.038001453481530695,0.031184044087053595,0.038932749865686865,0.0584449028567246,0.07716645821098053,0.1160925848655042,0.11338387689044475,0.13575226842303795,0.18324728274171592,0.026852831087617518,0.016995260152235653,0.03090956858704371,0.023114426472887813,0.03045477821127336,0.020856344220540432,0.02920539105510281,0.034596089139497244,False
1,1,4,1,0.5493340524045331,0.1925089650411218,0.6666666666666667,0.476680380757998,0.0968100324921832,1.4309847909640572e-08,3.988078415982694e-09,4.777925131919938e-06,0.8723288672547493,1.0,7.453889935837843e-20,0.5945945945945947,0.4411764705882353,0.1313405797101449,0.0,0.2246734229542839,0.3254163907559266,0.2996733540329835,0.0,0.1659569218394426,0.3358351215672994,0.3530554034381251,0.6035859268724444,0.3075857906995549,0.4214104529370021,0.3989829655257684,0.6117885071854523,0.219121660231085,0.4334686510039109,0.4793399572905778,0.7581653158197958,0.0125944584382871,1.0035999976336653e-07,0.0793201133144476,0.4,0.9001676563979485,0.8333772170477598,0.939992391410336,0.292105019963949,0.6042091994473556,,,,,,,,0.023475063101270073,0.023997437283612155,0.025409377348497016,0.02246700816149066,0.02427827354855055,0.018254081897460653,0.0781700596000537,0.07492837300143258,0.08279501723601898,0.13289447539065863,0.09664224949619703,0.18227770580399463,0.03687780724053121,0.028013422424235924,0.022255058906159076,0.022465807322989008,0.02233738746803476,0.02106272162196879,0.024690882305683413,0.02736194580710436,False
1,1,5,1,0.4917606709425565,0.1245504575837943,0.6666666666666667,0.6728093103165181,0.0968100316609358,1.0683352814944156e-08,5.612203675100156e-09,1.2315365946635436e-05,0.9098562844720208,1.0,1.6059744679941534e-18,0.3783783783783783,0.088235294117647,0.3659420289855072,0.0,0.1776938969531465,0.2065292951388721,0.1058243095903203,0.0,0.1632014240024386,0.2447024762764132,0.138178448866681,0.7446899092131785,0.3112605348911256,0.3698272857476717,0.2972661280774866,0.751891473285788,0.2460930521284546,0.404217424036677,0.3715618137460476,0.7536014007093981,0.0125944584382871,5.0141223901278466e-08,0.0509915014164306,0.44,0.8341176464176713,0.7574511334751368,0.9408600080574844,0.3458198193249481,0.6311313689432024,,,,,,,,0.01539265144211007,0.03685715577682632,0.023399790856736553,0.009632235476344751,0.009188949146287356,0.0174422304605691,0.09098026415279431,0.09870815028826921,0.12620787888109086,0.1427779470628999,0.16746898312776073,0.2077864160154443,0.018410185486873485,0.011022945248841894,0.015396245992556156,0.017463386868827854,0.012057670158122081,0.010883422779359855,0.019416502804104202,0.012436400079432738,False
1,1,6,1,0.401012712403652,0.0570514820840065,0.0,0.4801582512278324,0.0968100302052669,1.0454359277461434e-08,5.151799342895416e-09,1.1374279553586792e-05,0.7132164102989388,1.0,1.4907779871675686e-19,0.4324324324324324,0.2941176470588235,0.1422924901185771,0.0,0.2290738906555847,0.2576640402165598,0.1740341015546463,0.0,0.1946277313741033,0.2669674401254077,0.1980021377062554,0.7241089425383074,0.3424919508615537,0.4004148853474054,0.3401631737580994,0.7197021472832437,0.2617464566576539,0.4103626702827911,0.4001150766974588,0.8244721496796219,0.0327455919395465,1.3396082287426866e-07,0.0991501416430594,0.5600000000000002,0.929824715002638,0.7875846077891655,0.9329809590013952,0.4551662462003684,0.5093822449944256,,,,,,,,0.015760859260437677,0.026505969833727893,0.03065083340051792,0.02125431257763583,0.020933293286090875,0.020874627803877784,0.08114703504779143,0.07631760277816521,0.10235648017272078,0.09793469450179317,0.11976349505407703,0.14236677900369676,0.03935336319546326,0.01615152895966324,0.024571983502530516,0.031111008324088217,0.021948944377664124,0.013063262630862988,0.01616043388566141,0.01139827254871079,False
1,1,7,1,0.2934726468179521,0.0071731994582839,0.0,0.2068775109745625,0.0968100275334927,2.098420142951761e-09,2.632625403379324e-09,3.777457087497369e-05,0.6953390553397221,1.0,4.0657581468206416e-20,0.5135135135135136,0.3235294117647058,0.1545893719806763,0.0,0.2260665831915572,0.2274638218431553,0.1720378925930579,0.0,0.1598292516269867,0.2319943554736437,0.1599537256265927,0.6858831866519073,0.3302855225037657,0.3675488781338685,0.3239769793448132,0.6420483648791404,0.2206784973053001,0.3623242874288528,0.3419216795773195,0.5377341879901951,0.0302267002518891,1.0368818542048185e-07,0.0934844192634561,0.4,0.906987124841271,0.8194627787118254,0.9065444712455876,0.1752905305866311,0.4042195822562527,,,,,,,,0.04206378629137045,0.030663754301279746,0.057739804611818345,0.04353803367494649,0.04508884749761411,0.04275246422450518,0.11169395010014226,0.14776859294359893,0.1315720535756587,0.17750771087725511,0.15358323687939734,0.16837462704746223,0.07668270221227201,0.047095602088223734,0.04835286757651785,0.043508388824818674,0.039192883310085795,0.030747739843568815,0.04158706690119489,0.031605636173864526,False
1,1,8,1,0.4806186068954943,0.1406461559279708,0.3333333333333333,0.487475848005251,0.0968100254184494,3.7975159853010285e-09,6.101570443722251e-09,4.601690567110053e-05,0.7922976257277295,1.0,7.453889935837843e-20,0.3243243243243242,0.1470588235294117,0.2053140096618357,0.0,0.2066197903923335,0.2196292017550378,0.1665398764592014,0.0,0.1635287288858994,0.21674547204943,0.2003714969276269,0.5914786383156263,0.2898385860979893,0.3338269095750926,0.2831028279394286,0.5960331215122008,0.2139454281225009,0.3364416190157128,0.3550411366557161,0.5472386494508295,0.0377833753148614,7.353872371391098e-08,0.0793201133144476,0.4,0.9079931706875058,0.8522454818905176,0.9334032934470764,0.2809701577649797,0.4989569026742663,,,,,,,,0.008341618463494727,0.015630301959675044,0.009070560910777268,0.008537578038949329,0.00660056078443342,0.014426330590242087,0.0677803853783853,0.0924289241672581,0.15010963036856684,0.21122373093101854,0.19609127025065212,0.21757696702267088,0.012040728803234884,0.00788453934253155,0.011137346200640724,0.009293701777976003,0.011413755708207346,0.006871212774478601,0.009880602196109626,0.006340887507329379,False
1,1,9,1,0.4715031117141678,0.095793190585071,0.0,0.6610463570415853,0.0968100310926002,1.5803385146884327e-08,7.472690217596399e-09,1.0452622570471503e-05,0.8509821014660296,1.0,7.453889935837843e-20,0.4054054054054054,0.3235294117647058,0.1207729468599034,0.0,0.3225745092274097,0.333871589556151,0.2051636741872542,0.0,0.258633977690909,0.3398639986589321,0.2356638871654346,0.7110539000893368,0.4076179383030607,0.4523649601361963,0.3590134202714418,0.7374461689379948,0.3098052040678971,0.4655894508922384,0.4328792921621133,0.4975146539548338,0.0377833753148614,3.3620023164754417e-08,0.1076487252124645,0.4,0.8424375164635481,0.7117375516666287,0.9288755247451485,0.3983210161068228,0.6772873262866579,,,,,,,,0.018738534315869654,0.012990575892175737,0.023385996047772546,0.017851631280104842,0.016319738053763234,0.013214908041103706,0.060060634881725534,0.06118338476543253,0.091897966043688,0.0968059988993022,0.0906593030653057,0.13190814873007312,0.01555400982249162,0.02122642119957119,0.01145279533687822,0.014954268509350133,0.01817075244199852,0.014763495794825368,0.009854224988641492,0.011153414711862479,False
