fid,iid,rep,high_level_category,ela_distr.skewness,ela_distr.kurtosis,ela_distr.number_of_peaks,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.intercept,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.coef.max,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.adj_r2,ela_meta.quad_simple.cond,ela_level.mmce_lda_50,ela_level.mmce_qda_50,ela_level.lda_qda_50,disp.ratio_mean_02,disp.ratio_mean_05,disp.ratio_mean_10,disp.ratio_mean_25,disp.ratio_median_02,disp.ratio_median_05,disp.ratio_median_10,disp.ratio_median_25,disp.diff_mean_02,disp.diff_mean_05,disp.diff_mean_10,disp.diff_mean_25,disp.diff_median_02,disp.diff_median_05,disp.diff_median_10,disp.diff_median_25,ic.h_max,ic.eps_s,ic.eps_max,ic.eps_ratio,ic.m0,nbc.nn_nb.sd_ratio,nbc.nn_nb.mean_ratio,nbc.nn_nb.cor,nbc.dist_ratio.coeff_var,nbc.nb_fitness.cor,ela_meta.quad_w_interact.adj_r2,ela_level.mmce_lda_10,ela_level.mmce_qda_10,ela_level.lda_qda_10,ela_level.mmce_lda_25,ela_level.mmce_qda_25,ela_level.lda_qda_25,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,optimal_budget
1,1,0,1,0.2548028817545859,0.06563734644435648,0.8,0.6307174315468563,0.022906216452526825,9.435143905368483e-09,7.099687572843776e-09,0.0002574693481332851,0.8316927349774559,1.0,4.743384504624082e-20,0.1979166666666667,0.010638297872340483,0.7934426229508196,0.05219994741185333,0.07443264160328487,0.07849910540168435,0.07515267966313711,0.04611798175760344,0.06603634763341736,0.07971934779441175,0.08972875966702848,0.3564000751964516,0.35921242294878464,0.3745251980434556,0.3500697276278616,0.30593315979191266,0.3503170777154868,0.36969667744121065,0.403731175975425,0.5693857005451528,0.03394255874673634,9.38493251304868e-08,0.05974842767295604,0.38634591825370324,0.8245147699452786,0.800103852105325,0.9661631248589495,0.08208648678520031,0.7412786665037482,1.0,0.31578947368421073,0.11851851851851845,0.1171875,0.6041666666666665,0.06666666666666658,0.28272450532724486,0.010020826913509221,0.00025994102097284995,0.0033668786327455944,0.0038960254981360333,0.0021136932584243273,0.004684734385268284,0.005747859333520773,0.005482069524128023,0.0019905858511334554,0.010727475878687479,0.005429775393333505,0.004880249605753176,0.014713805535600737,0.0304941895361375,0.06808323823101273,0.05556921062295792,0.0670044372451147,0.05529305392157754,False
1,1,1,1,0.2311228895709035,0.045479914191500784,0.2,0.7434928555888014,0.022906215350513556,1.678817359087919e-09,5.913378761449377e-09,0.0015944623514928579,0.8301606657967185,1.0,7.453889935837843e-20,0.11458333333333326,0.0425531914893616,0.2475409836065574,0.04929009825613378,0.08452550845660989,0.10392351818983595,0.13892744149238256,0.04199282675202653,0.07968799295634424,0.10501345575743154,0.1597792081320694,0.4165789803832905,0.44269699163915166,0.47337369849934885,0.4792633446879057,0.3494008932263596,0.41397980850517313,0.450860089874723,0.5254268882224791,0.6131807847897728,0.013054830287206248,1.2662652624741903e-08,0.034591194968553465,0.4024947098786056,0.8423820238516659,0.8223571114839103,0.9609309574298257,0.15192072075661228,0.7384690373616485,1.0,0.31578947368421073,0.10370370370370367,0.13392857142857142,0.7291666666666667,0.1333333333333332,0.19025875190258748,0.003716188891762748,0.003956977802803464,0.004358109046539626,0.0035042882052020016,0.004717885089888698,0.002175225775540612,0.005990166176254127,0.004814626717676138,0.0030515474229282076,0.003499272325871321,0.005028993914459333,0.005266826022717457,0.02473070271677229,0.022654380366219,0.06292723192551045,0.05429846680326499,0.06343674526512001,0.06036063516496445,False
1,1,2,1,0.26081999900130054,0.06468427822833359,0.2,0.5315566928532447,0.022906211000945722,1.5613232525303636e-08,5.758186281554859e-09,7.313648998173447e-05,0.7831775058948885,1.0,7.115076756936123e-20,0.45833333333333337,0.1808510638297872,0.18930112165660057,0.11468772645466459,0.17043277055295566,0.22409112946179677,0.3108633918654886,0.11584132495172833,0.15759965594642633,0.21643932703550317,0.3331133967316727,0.38925738142184074,0.41396942076221743,0.4631354329289512,0.5042318129934997,0.3390349918562944,0.39474312104047277,0.4389469862365701,0.5464778230685168,0.6441215715703514,0.026109660574412524,3.1351592871977135e-07,0.08176100628930814,0.32175075175409296,0.9218928609739137,0.8216994054608708,0.9673805923657186,0.14519962513472712,0.6311047789466283,1.0,0.42105263157894735,0.08888888888888889,0.1770833333333333,0.75,0.19999999999999996,0.13267376966007102,0.012808668989872391,0.010403648815232779,0.005966112157031236,0.0027964528156255897,0.004791861069971723,0.010418200347531777,0.02349880341602928,0.009553036024535654,0.0038032062602909246,0.006415394379937587,0.014072848914148915,0.016250284127259006,0.030225920032743207,0.028237778039279467,0.04619572951328593,0.07415802087630775,0.0601563085563187,0.10042726148311697,False
1,1,3,1,0.24514458822597218,0.05508100072154212,0.2,0.3412973821315399,0.022906211186312038,6.530108580840996e-09,5.2127346079056644e-09,0.00028283149180126236,0.7319511270916207,1.0,1.3552527156068805e-20,0.6041666666666666,0.05319148936170208,0.7976580796252928,0.05900340252450543,0.11231580936215238,0.12106268507801224,0.13290463290835702,0.04366887842247092,0.10611487042149645,0.13148753607118815,0.16625676351259544,0.43068713098009864,0.4684530129336762,0.4948404478113669,0.4891436743849191,0.3642534168896171,0.4428896397008347,0.4831381479939928,0.5525197478653592,0.5198034090395816,0.007832898172323813,7.335685400879785e-08,0.034591194968553465,0.27330437687938525,0.8843199034757525,0.8610856299436866,0.9678643002793643,0.11118055955271339,0.6370291888569426,1.0,0.31578947368421073,0.12592592592592589,0.11029411764705883,0.5833333333333335,0.1333333333333332,0.15829528158295278,0.026009178406707426,0.021787179241918236,0.01082681378041837,0.011982910509159637,0.007884547923638146,0.017871226485210518,0.021190127175876126,0.019351213095418127,0.012865145604959436,0.014349158625531069,0.015047765982837972,0.015426603317087225,0.06943000760942698,0.05477352954835947,0.10042700417044052,0.104694608485113,0.12203575317891478,0.14071439181609252,False
1,1,4,1,0.33644735029065753,0.12634515140686747,0.6000000000000001,0.3838484209093325,0.02290621376637515,5.74117607972217e-09,4.586358009494944e-09,0.0002847945575795687,0.7291930880262206,1.0,3.7269449679189215e-20,0.27083333333333337,0.07446808510638304,0.2918032786885247,0.0676419197401354,0.11036101554803576,0.13281771227402123,0.16700722334003293,0.04929931849623923,0.09630754234854495,0.12497857213742827,0.18123020285737748,0.4028720585756594,0.4279003319098709,0.45879598694937407,0.46357630082802553,0.32705860078570625,0.39090091100420077,0.42341332082232735,0.4934451904634652,0.5751726450812933,0.0026109660574412663,7.335685400879785e-08,0.06603773584905658,0.38634591825370324,0.9179229021236046,0.8535109385969646,0.9775232816076089,0.17040528773619673,0.6523728960369903,1.0,0.42105263157894735,0.074074074074074,0.21249999999999994,0.6666666666666667,0.09333333333333317,0.2382039573820395,0.007697180767994547,0.00597016282551854,0.007176991623592244,0.007352902237713356,0.006216260414045756,0.004767307843141826,0.006635592189763206,0.011485252710980198,0.003596597471818556,0.004679438533136818,0.007392788654021354,0.007470391362666707,0.046927487920609544,0.03490580979223099,0.04918181462392174,0.06441257866733129,0.05836300417625884,0.08950657129458091,False
1,1,5,1,0.34722422425458144,0.1199985549341101,0.4000000000000001,0.6688512702447936,0.022906216127539354,5.982084044022225e-09,6.4525012645932186e-09,0.00041602484902624934,0.885366482854878,1.0,8.131516293641283e-20,0.26041666666666674,0.03191489361702128,0.5573770491803279,0.06681274789129878,0.08355605805122222,0.10096922875113172,0.11497760078032289,0.0619113658104864,0.08392694646434079,0.11054742532339526,0.1549122601306532,0.46685713961744946,0.49568116509033966,0.5290687720926461,0.5273681733422142,0.4068062917910098,0.4767283796491654,0.5259115076493344,0.608726932167843,0.6180490562635723,0.0052219321148825465,5.484072117619728e-08,0.031446540880503124,0.2894531685042878,0.8564573897560033,0.883210968511376,0.9888930453190106,0.07529503916878688,0.7657897311271369,1.0,0.31578947368421073,0.08148148148148146,0.17045454545454547,0.5625,0.15999999999999998,0.12937595129375948,0.037235479865580345,0.022350704031743614,0.022326836178582457,0.015180442671875176,0.019860802864530097,0.02074072468366609,0.01799435971269669,0.02669988488776518,0.01996389039956633,0.02122177348715115,0.013277532368668367,0.011297115508373555,0.0322345131200763,0.030054688676478508,0.059338551262769525,0.12094689151484529,0.11203380795009618,0.08052354266400584,False
1,1,6,1,0.2571016083624751,0.05932141450179019,0.4000000000000001,0.5665943462679659,0.022906214559166284,1.699625617073764e-09,7.003891256502405e-09,0.001874455472039447,0.7109495342964606,1.0,0.0,0.28125,0.12765957446808512,0.17166276346604217,0.04578934301013755,0.10117002783316933,0.1373746632068488,0.16329796640162025,0.044062296451374765,0.09785451106508422,0.13991179296451886,0.19456165643522885,0.4248063642415184,0.46338576447711216,0.5038501684868404,0.5061997764356251,0.36516186027100256,0.4401017275282548,0.48789565494216813,0.5674158068653621,0.5647393524012785,0.013054830287206248,9.38493251304868e-08,0.04402515723270448,0.41864350150350815,0.9008125743358613,0.8532965366210901,0.9654897787654972,0.16158238225457983,0.6716679417636153,1.0,0.42105263157894735,0.044444444444444446,0.35416666666666663,0.7291666666666665,0.07999999999999997,0.2876712328767121,0.007800065548434093,0.00851447585961137,0.008039662147040999,0.008895291802367169,0.0072818133066072654,0.0033118889558620174,0.0072248039901524905,0.013614860901927518,0.009865103479354027,0.010877928419989172,0.011899716702967923,0.011943409919165834,0.035499235907997376,0.03331353660248749,0.038386420557439765,0.03849893613202683,0.05295371145267498,0.07970895822598371,False
1,1,7,1,0.19039949745562867,0.02336174276882957,0.2,0.4065852690951563,0.022906211040010685,2.589100899778272e-09,4.834444384844115e-09,0.0008036104483969824,0.6720519470729857,1.0,2.0328790734103208e-20,0.26041666666666674,0.08510638297872336,0.2475409836065574,0.07906421698017477,0.10744835914759936,0.11625544167238777,0.12547283141307514,0.06571708866768866,0.09646164652235512,0.11618454737910208,0.14812746981586528,0.451372155713773,0.4800710281026032,0.5076125424847491,0.5016228181773139,0.37642848818098296,0.44173520945939093,0.480121889413286,0.5482991555806291,0.5424548918701662,0.013054830287206248,5.484072117619728e-08,0.03773584905660381,0.4024947098786056,0.9267275661401646,0.8978988604853004,0.9904755131613863,0.1322179305077213,0.6327331958138993,1.0,0.31578947368421073,0.13333333333333333,0.10416666666666667,0.5625,0.15999999999999998,0.12937595129375948,0.03361680029762936,0.014131252114242333,0.015169803232604818,0.015736452671621895,0.012804912765744383,0.015789159347892566,0.033536538586865526,0.017702083587595514,0.017439323608055016,0.011995043690893579,0.016103989600762047,0.027146902486956108,0.13300497935070335,0.1041036820990194,0.10248033913863525,0.09456706312586402,0.12049783177641751,0.12096176246009395,False
1,1,8,1,0.3177580604346245,0.1083633416640813,0.4000000000000001,0.6158958704688269,0.022906205983468465,3.4456377266772714e-09,8.101398676036704e-09,0.0010241835446607723,0.8305597918128145,1.0,2.371692252312041e-20,0.27083333333333337,0.10638297872340433,0.2032786885245902,0.05838347941392765,0.09617219880792748,0.12641861391405132,0.15259964031936868,0.0435464683084982,0.09674067732980711,0.1351836407697979,0.19388526892966898,0.41906383570991174,0.44624322486852924,0.4827792345634918,0.48413099652823316,0.36366701103254107,0.43810552047212836,0.4840368704681631,0.5650319407456497,0.5495841445748757,0.023498694516971244,1.1652908102065101e-07,0.04088050314465415,0.32175075175409296,0.9153698929773904,0.8834801021058283,0.9739215625531248,0.1772230268483866,0.6951952090761533,1.0,0.31578947368421073,0.09629629629629623,0.14423076923076925,0.5625,0.14666666666666656,0.14068275712111325,0.0012581881553522232,0.002855754556455507,0.0016646519034488984,0.0012248851689192924,0.0025690271017154293,0.0016378107271438373,0.0024215042258247544,0.006988374504447385,0.002643801089495673,0.0033427072182330834,0.005474244846664284,0.0017499361360362124,0.008184436101403837,0.03307108004418824,0.024244048728539244,0.027815212425360905,0.06517911309474388,0.08127737030532783,False
1,1,9,1,0.3300827710728044,0.10209666033579201,0.8,0.6852134889365591,0.02290621489896029,1.519565783540295e-08,8.181007816543513e-09,0.00015326103467020006,0.8695993403116982,1.0,6.911788849595091e-19,0.2500000000000001,0.05319148936170208,0.3676814988290399,0.04385138318990026,0.08114927593804677,0.10756907713336746,0.127954976958905,0.04131780751804719,0.0711156084673125,0.11871349711931287,0.16961329697754698,0.4519431249952066,0.48815050205549565,0.5252538950409302,0.5262982589780425,0.3927934288114193,0.46392023540654903,0.519515433879862,0.6035581126574827,0.43958012097830257,0.010443864229764996,1.949214083912259e-08,0.03773584905660381,0.16026283550506726,0.8354009513347385,0.849700917511103,0.9834319727533078,0.12931199516600228,0.7343255358637868,1.0,0.31578947368421073,0.11111111111111112,0.125,0.6250000000000002,0.19999999999999996,0.11288685946220188,0.03615535431905938,0.026109919125328437,0.013379650408003856,0.019297942904291293,0.029194428234113255,0.019025135905251095,0.01318172837161229,0.022605664914624835,0.021414374369338202,0.03248918798061552,0.017761168048246935,0.005297770446600569,0.027600260493144103,0.04328915495145854,0.07329598376909587,0.09575307002686452,0.12231919439675022,0.05410495507488735,False
