fid,iid,rep,high_level_category,ela_distr.skewness,ela_distr.kurtosis,ela_distr.number_of_peaks,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.intercept,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.coef.max,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.adj_r2,ela_meta.quad_simple.cond,ela_level.mmce_lda_50,ela_level.mmce_qda_50,ela_level.lda_qda_50,disp.ratio_mean_02,disp.ratio_mean_05,disp.ratio_mean_10,disp.ratio_mean_25,disp.ratio_median_02,disp.ratio_median_05,disp.ratio_median_10,disp.ratio_median_25,disp.diff_mean_02,disp.diff_mean_05,disp.diff_mean_10,disp.diff_mean_25,disp.diff_median_02,disp.diff_median_05,disp.diff_median_10,disp.diff_median_25,ic.h_max,ic.eps_s,ic.eps_max,ic.eps_ratio,ic.m0,nbc.nn_nb.sd_ratio,nbc.nn_nb.mean_ratio,nbc.nn_nb.cor,nbc.dist_ratio.coeff_var,nbc.nb_fitness.cor,ela_meta.quad_w_interact.adj_r2,ela_level.mmce_lda_10,ela_level.mmce_qda_10,ela_level.lda_qda_10,ela_level.mmce_lda_25,ela_level.mmce_qda_25,ela_level.lda_qda_25,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,optimal_budget
1,1,0,1,0.2308513016854786,0.0647226683179928,0.6666666666666666,0.663654776444864,0.0165474676676391,7.264947632873147e-09,7.572647084548998e-09,2.7994259770513392e-05,0.85244387999654,1.0,4.912791094074942e-20,0.3503649635036496,0.0489510489510489,0.4787031150667515,0.0125407557203789,0.01827302143571,0.0229550852931366,0.038579321487022,0.0151958919130124,0.0240173758105609,0.0348827841869224,0.0584700133667512,0.4806980210826238,0.5308327338786596,0.5348247370291691,0.5847925852219502,0.5165436244648577,0.6335844472831014,0.6720270062173291,0.7336418498053197,0.3054994415161776,0.0509383378016086,1.4792664695779797e-07,0.029032258064516,0.4895833333333332,0.8064183382728991,0.7929265614408934,0.9770201802448766,0.0692476751283837,0.7765750074897665,1.0,0.1847826086956522,0.0964912280701754,0.0769118505545826,0.5641025641025641,0.1526717557251908,0.0729688521019386,0.0007254484046695549,0.00015835609682464754,0.000603241244790574,2.126162335077222e-05,0.0007531778553394627,0.0008823464344650881,0.000613614894695863,3.2258330978749877e-07,3.0351736952160678e-05,7.552287048205299e-05,0.005014519520816229,0.018165133443843122,0.02217610179074946,0.016937143940865068,0.038609479850536726,0.04378290260248949,False
1,1,1,1,0.2093700607333738,0.0474960237464162,0.3333333333333333,0.7765131338729785,0.0165474674401484,8.279773756913771e-10,6.025120701075882e-09,0.0002509420624945,0.851111287983141,1.0,1.2705494208814504e-20,0.2554744525547444,0.0559440559440559,0.3426573426573426,0.0102480387866842,0.0151297060458303,0.0201973078633556,0.0359394260678135,0.0107709913389667,0.0188610211393216,0.0288127497457565,0.0525647132837132,0.5228336652458577,0.5775558276783226,0.5829501628354692,0.6383297454213634,0.5328185509612742,0.6538384238125026,0.6936374326557567,0.7570345163154432,0.2348984305493751,0.0294906166219839,9.218764913007705e-08,0.0258064516129031,0.28125,0.8208456193404519,0.8223130509613235,0.9746476966828636,0.0844285621881196,0.8109016461217284,1.0,0.1847826086956522,0.1008771929824561,0.073555166374781,0.5641025641025641,0.1221374045801526,0.0922820010164815,0.004129154555876053,0.0007866270587669475,0.0023618197385528003,0.004879891958276412,0.003344510978462085,0.003352589238557088,0.0012712105587939174,0.003455878650150743,0.006814294861420483,0.002907677673220652,0.01799765061759351,0.0224966667984315,0.02347780190956588,0.016544882527345022,0.03943217226850711,0.04365853827687331,False
1,1,2,1,0.2208850778918251,0.0577789844235689,0.3333333333333333,0.6043919941050632,0.0165474625868789,1.5159784966133958e-08,6.130135708603954e-09,5.568493584448431e-06,0.8081098768891372,1.0,7.623296525288703e-21,0.2043795620437956,0.1048951048951047,0.1623113728376887,0.0225549678902665,0.0416956840974402,0.0555103307521092,0.1171724006189454,0.0175216967176371,0.0428859217739708,0.0599980974715023,0.1220759317695162,0.4501015252351836,0.5021492582554938,0.508982946626734,0.5759294026088871,0.429352306479412,0.5333144729605517,0.566174752066088,0.6348144094734502,0.3344853317680187,0.0402144772117962,6.006576918812953e-07,0.096774193548387,0.5,0.8696325731057233,0.8430609710243289,0.9796097888862496,0.0688147063716131,0.7543821270862259,1.0,0.1847826086956522,0.043859649122807,0.1608289550496205,0.628205128205128,0.0687022900763358,0.1730460782954793,0.00252667994728909,0.005106137583732183,0.0013514852434754132,0.0037474579725804993,0.004472700150242367,0.00138563898966918,0.0015441939329728191,0.0017095160325472905,0.009372667887018921,0.003698908995741096,0.03369826724740378,0.02912191019727782,0.04497845102277781,0.07809521639766073,0.05885211982230414,0.054587745226676,False
1,1,3,1,0.2201166318958471,0.0550491769020719,0.5,0.3543093251729561,0.0165474617537078,1.0619761761777356e-08,5.570486748001635e-09,9.946397253147714e-06,0.737189318074815,1.0,1.0164395367051604e-20,0.3795620437956204,0.0769230769230769,0.3566433566433566,0.0148158075948972,0.024030871230192,0.0314189117937341,0.0618247265056098,0.0140371282408863,0.0261607908648158,0.039676197839151,0.0782382547281079,0.5367332668402467,0.5941915722962559,0.600617653776415,0.662469843210122,0.5243567830961725,0.6442278684097192,0.6839168487091947,0.7501152276550317,0.2681067806933912,0.0241286863270778,3.162624753933835e-07,0.0451612903225806,0.3645833333333332,0.85992646874327,0.8580360260852755,0.9776575936333992,0.0816952170087014,0.7513766168681147,1.0,0.2065217391304348,0.0526315789473684,0.1483612709532149,0.6666666666666665,0.1679389312977099,0.0753829957162564,0.0077388203491566615,0.006287170273408193,0.006874579513701167,0.006359533496470454,0.006223137143811091,0.00578120808767635,0.010801368191709772,0.011438241644106081,0.006038970026750987,0.00752178761696865,0.05050516100412899,0.03137952948242813,0.04944665256593355,0.045416832283080154,0.07289496799840482,0.05673739462022015,False
1,1,4,1,0.2943454541896638,0.1121999683103313,0.6666666666666666,0.3998042110427319,0.0165474649589418,2.877890616053426e-09,5.2055426365737405e-09,5.622680599520684e-05,0.7130729533563867,1.0,1.0164395367051604e-20,0.4087591240875913,0.0699300699300697,0.4105894105894107,0.0168633423673756,0.031278608289323,0.0403469737432394,0.0657092047864738,0.0150174690677251,0.0322565196068323,0.0480580508660262,0.0756288081914491,0.5087310484301646,0.5649825301989377,0.5712256961702958,0.6282282375511303,0.4895573432775263,0.6032307363595133,0.6406768549525781,0.7008728140989251,0.3984944342413676,0.0160857908847185,2.7081313484149644e-07,0.064516129032258,0.5,0.8794643759002894,0.8495577155223355,0.9851964067236152,0.0996340970447767,0.7445265251040427,1.0,0.2173913043478261,0.1184210526315789,0.0707772208466694,0.6025641025641026,0.1526717557251908,0.0769192689253678,0.0028176118050673754,0.006289099530081049,0.0043435809433266265,0.005294044094485251,0.0044765338901506056,0.01581591440671888,0.005874842790119397,0.004451844188449652,0.002856211676414532,0.009342636454293334,0.03688486581064277,0.017452870907695067,0.04100316715678741,0.038012114079049635,0.059436019561864235,0.060136515244832225,False
1,1,5,1,0.3202602440753316,0.1181866885788609,0.6666666666666666,0.6863760305436097,0.016547468127428,4.561401422580671e-09,6.942537761769395e-09,4.514365324410161e-05,0.8927717805368316,1.0,1.9481757786848908e-20,0.2992700729927006,0.0839160839160839,0.2727272727272727,0.0170323337556124,0.0273777507399905,0.0366002270007239,0.0664637699578255,0.0183652163871855,0.0378721866045192,0.0534848403228132,0.0986762973615033,0.5634994608326026,0.6240658017835194,0.6316651548599694,0.6961090011975536,0.559682934540649,0.6887493178156057,0.7312030535833164,0.8013295120306853,0.296980806182336,0.0241286863270778,1.274341769442877e-07,0.032258064516129,0.3229166666666667,0.8427300530084241,0.8777763925782383,0.9914933872115954,0.0541942581454955,0.8228540352785247,1.0,0.1847826086956522,0.1008771929824561,0.073555166374781,0.5512820512820511,0.099236641221374,0.1115951499310245,0.0038273498268814213,0.0021942988885115342,0.008315989124186603,0.01536851382366324,0.01180631112014973,0.01169061785417098,0.004895144067685982,0.009570915532539066,0.010012578623122019,0.005417430352690828,0.021558606560037184,0.03951020910597309,0.07542241627973066,0.08554256709349041,0.11467829428262294,0.12061789661125562,False
1,1,6,1,0.231612658390218,0.0596574378935413,0.5,0.6060839062406453,0.0165474667113706,4.047088544658559e-10,7.406662869869983e-09,0.0006383966221248,0.738898041357223,1.0,2.1175823681357508e-20,0.291970802919708,0.0489510489510489,0.4176732358550541,0.0182833841087723,0.0233456040823592,0.0315500784120363,0.0602973335147958,0.0189094661519841,0.0270915703237604,0.0400976496623849,0.0792396901161529,0.5343525879007445,0.5899185111085092,0.5965294062470747,0.6574396875523949,0.5266562640609904,0.6455064487201796,0.6851075256894706,0.7515151127496598,0.297496816120864,0.0268096514745308,3.066093038997052e-07,0.064516129032258,0.3541666666666665,0.87026431609063,0.8487930712724188,0.9764073174979332,0.1184061832115579,0.7371752413772326,1.0,0.2065217391304348,0.0745614035087719,0.1074753433496174,0.6282051282051284,0.0763358778625954,0.157463878603064,0.01094533515513214,0.030012121673813626,0.011362405675651529,0.020311503616058775,0.00451385643189277,0.008437884148604797,0.011426848414850836,0.012637327560449597,0.01036243986635654,0.017247968327651637,0.03626467757154271,0.040760647469330946,0.0364454448730043,0.06313998823902697,0.09224601895517436,0.11236476329501566,False
1,1,7,1,0.1743076315273544,0.0282867541382351,0.1666666666666666,0.4236784354595864,0.0165474629512212,1.0137379005457934e-09,5.445659674210953e-09,0.0001839306462394,0.6779540259102559,1.0,1.1858461261560203e-20,0.4452554744525548,0.0769230769230769,0.406993006993007,0.0115730425045588,0.0198773850051509,0.0283086058756729,0.0540336837269838,0.0131899750449412,0.0242342500023477,0.0407165482248961,0.0763111867919784,0.5473083095509095,0.6058088745245069,0.6128900204079675,0.674467408556891,0.5439064587940943,0.6679820981038267,0.7098759973794413,0.7769333442742734,0.327703151529096,0.0294906166219839,5.067843670969581e-07,0.0451612903225806,0.5625000000000002,0.8923042928979881,0.9020938106579672,0.9934396644718227,0.0537096007230661,0.7351829930687708,1.0,0.1847826086956522,0.0570175438596491,0.1272621132516053,0.5641025641025641,0.1297709923664122,0.0866913526464823,0.03208535960054166,0.03448139054228476,0.022740858279091298,0.03257161316248505,0.01613469322219137,0.025258243544952534,0.028075106911226458,0.03686775731066804,0.018442006633965828,0.02310250768661708,0.11439416405161633,0.05483625172192354,0.1028156761425048,0.07909382021769973,0.1370006646283282,0.12530811961153945,False
1,1,8,1,0.2887915624818884,0.1037790467526385,0.5,0.6485347062924817,0.0165474574161243,3.194025655599453e-09,8.508590575481902e-09,8.491902713118053e-05,0.8422273196383202,1.0,1.2705494208814504e-20,0.3357664233576641,0.0769230769230769,0.323076923076923,0.0249139663653346,0.0348425142123963,0.0454432576761479,0.0724978928349339,0.0269431656811293,0.0448571145368493,0.0618546097401949,0.0972733769818812,0.5293950235221008,0.58565752965637,0.5928090264716981,0.6524041850550211,0.5304848471158142,0.6521033347562535,0.6922521836845502,0.7579477578496662,0.401730904720901,0.0348525469168901,2.8825753230546577e-07,0.0548387096774193,0.3645833333333332,0.887186849308365,0.8717228255111413,0.9824191187711816,0.1205627046571389,0.7695832559163177,1.0,0.2065217391304348,0.1403508771929823,0.05696919748635,0.5641025641025641,0.1221374045801526,0.0922820010164815,0.0009421746029899504,0.0009084860291566743,0.0014185153506074252,0.003917966470502029,0.001949833095594477,0.00470131028359016,0.0022768048479528268,0.002856668964992741,0.004552658686864207,0.00150773997530498,0.01358643419310632,0.014304415096267441,0.09810851224497943,0.10621804269567967,0.0577107873738738,0.0906299040926667,False
1,1,9,1,0.3047252078739255,0.1024638283317674,0.8333333333333334,0.7109277522464206,0.0165474670657043,1.4875064956147554e-08,8.231831598443006e-09,1.064519115327483e-05,0.8806399905806352,1.0,1.2874900798265365e-19,0.2262773722627735,0.0769230769230769,0.2391608391608392,0.0251829093059489,0.0412532442341444,0.0550886575774652,0.0765122483453297,0.0292916930496543,0.0604633037213864,0.0879859863070065,0.1247516310971989,0.5606398685594861,0.6222000370376438,0.6309475553926167,0.6923279130629927,0.5696138271504547,0.702406607679114,0.7470548118910479,0.8162619179993009,0.5327250348994719,0.0241286863270778,1.828385240504289e-07,0.0387096774193548,0.4270833333333332,0.8227609863668588,0.8442089026237971,0.9875000619722496,0.1003765745072509,0.8136718320136929,1.0,0.1847826086956522,0.2017543859649122,0.0349532983070636,0.5641025641025641,0.2519083969465647,0.0406883032019168,0.030723792804326973,0.012773566495865274,0.026092462769263094,0.019983304690940444,0.014971375148049285,0.025288249959213537,0.014203517297351047,0.013196774441794191,0.0240443865069129,0.017675048287753754,0.047540404745685064,0.054175657221685325,0.11329795047914361,0.10167738713726716,0.13450012851896082,0.13055410202140258,False
